"filename", "language", "Svelte", "JavaScript", "XML", "comment", "blank", "total"
"/Users/dcum007/Downloads/AnCiR_next/src/lib/components/views/modals/MakeNewPlot.svelte", "Svelte", 177, 0, 0, 4, 25, 206
"/Users/dcum007/Downloads/AnCiR_next/src/lib/components/views/modals/MakeNewPlots_Multiple.svelte", "Svelte", 200, 0, 0, 0, 30, 230
"/Users/dcum007/Downloads/AnCiR_next/src/lib/components/views/modals/Settings.svelte", "Svelte", 33, 0, 0, 0, 5, 38
"/Users/dcum007/Downloads/AnCiR_next/src/lib/components/views/modals/SimulateData.svelte", "Svelte", 68, 0, 0, 0, 7, 75
"/Users/dcum007/Downloads/AnCiR_next/src/lib/core/Column.svelte", "Svelte", 533, 0, 0, 5, 111, 649
"/Users/dcum007/Downloads/AnCiR_next/src/lib/core/Plot.svelte", "Svelte", 147, 0, 0, 0, 18, 165
"/Users/dcum007/Downloads/AnCiR_next/src/lib/core/Process.svelte", "Svelte", 65, 0, 0, 0, 10, 75
"/Users/dcum007/Downloads/AnCiR_next/src/lib/core/Table.svelte", "Svelte", 134, 0, 0, 0, 22, 156
"/Users/dcum007/Downloads/AnCiR_next/src/lib/core/TableProcess.svelte", "Svelte", 164, 0, 0, 0, 24, 188
"/Users/dcum007/Downloads/AnCiR_next/src/lib/core/core.svelte.js", "JavaScript", 0, 144, 0, 3, 24, 171
"/Users/dcum007/Downloads/AnCiR_next/src/lib/data/CDFs.js", "JavaScript", 0, 470, 0, 114, 46, 630
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/Icon.svelte", "Svelte", 118, 0, 0, 0, 26, 144
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/add-file.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/add.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/align-bottom.svg", "XML", 0, 0, 6, 0, 1, 7
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/align-centre.svg", "XML", 0, 0, 6, 0, 1, 7
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/align-left.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/align-middle.svg", "XML", 0, 0, 6, 0, 1, 7
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/align-right.svg", "XML", 0, 0, 6, 0, 1, 7
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/align-top.svg", "XML", 0, 0, 3, 0, 0, 3
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/caret-down.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/caret-right.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/caret-up.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/center.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/circle-chevron-left.svg", "XML", 0, 0, 1, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/icons/clock.svg", "XML", 0, 0, 1, 0, 0, 1
